109, Unnamed Harbor, 66.126065, 11.9527528
110, Unnamed Harbor, 53.405215, 8.4674477
111, 磯漁港, 35.3081713, 136.2597771
112, Débarcadère de kassa, 9.4790479, -13.7480408
113, Porto de Ponta Delgada, 37.7372257, -25.6692752
114, Unnamed Harbor, -20.1540143, -58.1432787
115, Unnamed Harbor, 62.5013027, 6.0992265
116, Unnamed Harbor, -12.4514221, -64.2278093
117, Unnamed Harbor, 43.6757669, 15.9206609
118, Unnamed Harbor, 13.692782, -15.3244942
119, Unnamed Harbor, 55.9274651, 14.3172133
120, Unnamed Harbor, 60.2182979, 5.0190154
121, Unnamed Harbor, 67.5254747, 12.1409294
122, Unnamed Harbor, 44.9676887, 10.3740217
123, Pelabuhan Penyeberangan Nalahia, -3.6451252, 128.7904597
124, Unnamed Harbor, 64.438853, 10.5488932
125, Norrfällsviken, 62.9747457, 18.5219949
126, Unnamed Harbor, 28.3292865, 111.1088366
127, Rijksvluchthaven, 51.736915, 5.1381078
128, Unnamed Harbor, -22.915474, -43.1701933
129, Unnamed Harbor, 50.0828668, -5.5382446
130, Kalajoen Satama, 64.2204422, 23.7145013
131, Unnamed Harbor, 58.1560381, 6.6181533
132, Unnamed Harbor, 69.754575, 19.6781234
133, Burgemeester Jansenhaven, 51.7804831, 5.5445106
134, Ras al-Qulayah Naval Base, 28.8632301, 48.2853214
135, Hôtel-de-Ville, 48.85457, 2.3534647
136, Unnamed Harbor, 65.4710117, 12.2043359
137, Unnamed Harbor, 38.4566191, -28.167105
138, Porto Turistico, 45.7762333, 12.6134652
139, Unnamed Harbor, 71.0374618, 27.842285
140, Unnamed Harbor, 60.4373831, 5.0563994
141, Porto Empedocle, 37.2820524, 13.5271765
142, Salt Basin, 31.2338767, 32.3083441
143, Porto Sartico, -22.6215967, -48.1740148
144, Halte nautique de Soissons, 49.3827667, 3.3303323
145, The Camber, 32.3261206, -64.8339486
146, 友浦漁港, 34.1524784, 133.0840519
147, Halte Fluviale, 44.0670168, 4.7887285
148, Unnamed Harbor, 10.5425406, -83.5126333
149, Söderhamnen, 59.4017165, 18.3541056
150, Unnamed Harbor, -21.4071279, -49.5319548
151, Puerto Santa Marìa, -27.96796, -55.3508354
152, 船橋漁港, 35.6892459, 139.985759
153, Unnamed Harbor, -3.3848277, -57.7213001
154, Zeytinburnu Limanı, 40.98027, 28.8955
155, Unnamed Harbor, 62.6010666, 6.2158718
156, Unnamed Harbor, 61.0375416, 4.51238
157, Олинский Морской Порт, 45.7811791, 47.5509488
158, 津居山港, 35.6455785, 134.8324252
159, Rybachiy submarine base, 52.9156348, 158.4907209
160, Hortens ferjehavn, 59.4116655, 10.4898834
161, Muelle Sur, 37.1502735, -6.8710846
162, Unnamed Harbor, -16.7604841, 168.1529079
163, Crevecoeur, 51.7373556, 5.26415
164, Unnamed Harbor, 58.9953474, 9.8566328
165, Vestre havn, 58.1436937, 7.9883855
166, Karaburun Mahallesi, 41.3426405, 28.686955
167, ウトロ港, 44.0735001, 144.9925697
168, Kakumäe jahisadam, 59.4514905, 24.604332
169, Unnamed Harbor, -1.8149362, -49.7975519
170, Unnamed Harbor, -5.137006, -72.814021
171, port 1 de Sonfonia, 9.6848054, -13.5752474
172, Compagnieshaven, 52.7043148, 5.3007819
173, Unnamed Harbor, 60.9004271, 4.8296261
174, Ramsey Harbour, 54.3239954, -4.3831292
175, Unnamed Harbor, 62.54213, 6.0254863
176, Unnamed Harbor, 65.4735661, 12.2078443
177, Unnamed Harbor, -0.2350938, 122.1982833
178, Unnamed Harbor, -16.6364866, 168.2282397
179, Unnamed Harbor, 59.7994678, 5.1287327
180, Strucklahnungshörn, 54.4977778, 8.8073241
181, St. John's, 47.564866, -52.6996903
182, Unnamed Harbor, 50.1180796, 8.9188395
183, Unnamed Harbor, 24.9030124, 125.2655286
184, ميناء الزيت, 12.7455908, 44.888227
